name,unit,ea5ccbc7fd64d270b2972293f942575bc9f7cd0d
species.cauchy-composition-species-of-types-in-subuniverses,ms,1044
ring-theory.ring-extensions-rational-numbers,ms,1039
synthetic-homotopy-theory.zigzags-sequential-diagrams,ms,1039
foundation-core.functoriality-dependent-pair-types,ms,1035
foundation,ms,1033
synthetic-homotopy-theory.acyclic-maps,ms,1029
univalent-combinatorics.sigma-decompositions,ms,1017
trees.underlying-trees-of-elements-of-w-types,ms,1009
group-theory.quotient-groups,ms,1008
species.small-cauchy-composition-species-of-types-in-subuniverses,ms,1008
logic.double-negation-stable-embeddings,ms,1004
foundation.commuting-triangles-of-identifications,ms,998
foundation.fibered-maps,ms,996
logic.de-morgan-embeddings,ms,984
structured-types.pointed-homotopies,ms,979
foundation.decidable-embeddings,ms,976
category-theory.isomorphisms-in-categories,ms,970
group-theory.grothendieck-groups,ms,969
foundation.set-quotients,ms,963
ring-theory.groups-of-units-rings,ms,947
order-theory.finitely-graded-posets,ms,942
group-theory.abelian-groups,ms,936
ring-theory.isomorphisms-rings,ms,928
foundation.strictly-involutive-identity-types,ms,925
foundation.universal-property-family-of-fibers-of-maps,ms,923
commutative-algebra.groups-of-units-commutative-rings,ms,920
foundation.descent-coproduct-types,ms,909
univalent-combinatorics.cyclic-finite-types,ms,899
foundation.coproduct-decompositions-subuniverse,ms,899
category-theory.natural-transformations-functors-precategories,ms,893
foundation.functoriality-action-on-identifications-functions,ms,891
foundation.partitions,ms,886
graph-theory.equivalences-directed-graphs,ms,885
foundation.path-cosplit-maps,ms,881
category-theory.isomorphisms-in-large-categories,ms,881
trees.w-types,ms,881
real-numbers.strict-inequality-real-numbers,ms,878
orthogonal-factorization-systems.pullback-hom,ms,878
real-numbers.cofinal-and-coinitial-strictly-increasing-pointwise-epsilon-delta-continuous-endomaps-real-numbers,ms,877
category-theory.adjunctions-large-precategories,ms,877
group-theory.subgroups,ms,865
real-numbers.addition-real-numbers,ms,858
univalent-combinatorics.distributivity-of-set-truncation-over-finite-products,ms,849
foundation-core.commuting-squares-of-maps,ms,846
foundation-core.equivalences,ms,845
synthetic-homotopy-theory.smash-products-of-pointed-types,ms,844
foundation.exponents-set-quotients,ms,843
metric-spaces.metric-space-of-cauchy-approximations-complete-metric-spaces,ms,838
finite-group-theory.sign-homomorphism,ms,829
foundation.truncations,ms,826
synthetic-homotopy-theory.cocones-under-spans,ms,825
foundation.connected-maps,ms,824
orthogonal-factorization-systems.types-local-at-maps,ms,824
foundation.finite-sequences-set-quotients,ms,823
elementary-number-theory.fundamental-theorem-of-arithmetic,ms,823
synthetic-homotopy-theory.dependent-coforks,ms,823
foundation.computational-identity-types,ms,822
group-theory.subgroups-generated-by-subsets-groups,ms,819
synthetic-homotopy-theory.dependent-universal-property-pushouts,ms,819
foundation.pi-decompositions,ms,815
foundation.uniqueness-image,ms,810
ring-theory.rings,ms,803
species.cauchy-exponentials-species-of-types-in-subuniverses,ms,803
univalent-combinatorics.finite-types,ms,800
real-numbers.dense-subsets-real-numbers,ms,795
orthogonal-factorization-systems.lifting-structures-on-squares,ms,793
order-theory.galois-connections,ms,793
synthetic-homotopy-theory.coforks-cocones-under-sequential-diagrams,ms,790
commutative-algebra.joins-radical-ideals-commutative-rings,ms,789
group-theory.homomorphisms-generated-subgroups,ms,788
foundation.fibered-equivalences,ms,788
group-theory.normal-subgroups,ms,786
synthetic-homotopy-theory.shifts-sequential-diagrams,ms,784
linear-algebra.real-inner-product-spaces,ms,784
synthetic-homotopy-theory.dependent-pullback-property-pushouts,ms,782
trees.equivalences-directed-trees,ms,778
orthogonal-factorization-systems.null-maps,ms,769
foundation.standard-pullbacks,ms,769
synthetic-homotopy-theory.suspension-structures,ms,766
foundation.universal-property-image,ms,766
real-numbers.multiplicative-inverses-positive-real-numbers,ms,765
trees.directed-trees,ms,763
foundation.embeddings,ms,762
category-theory.subcategories,ms,762
group-theory.loop-groups-sets,ms,761
category-theory.functors-precategories,ms,757
synthetic-homotopy-theory.equivalences-descent-data-pushouts,ms,756
order-theory.closed-intervals-total-orders,ms,752
foundation.quasicoherently-idempotent-maps,ms,748
species.dirichlet-exponentials-species-of-types-in-subuniverses,ms,744
elementary-number-theory.divisibility-integers,ms,737
foundation.set-truncations,ms,733
set-theory.countable-sets,ms,733
group-theory.integer-powers-of-elements-large-groups,ms,731
group-theory.normal-submonoids,ms,729
foundation.unordered-pairs,ms,724
synthetic-homotopy-theory.morphisms-descent-data-pushouts,ms,722
foundation.product-decompositions-subuniverse,ms,722
synthetic-homotopy-theory.functoriality-loop-spaces,ms,721
group-theory.subgroups-abelian-groups,ms,720
group-theory.torsors,ms,709
real-numbers.powers-real-numbers,ms,708
synthetic-homotopy-theory.flattening-lemma-sequential-colimits,ms,700
foundation.decidable-equivalence-relations,ms,691
finite-group-theory.abstract-quaternion-group,ms,689
foundation.homotopies,ms,688
category-theory.subprecategories,ms,687
structured-types.pointed-isomorphisms,ms,686
group-theory.groups,ms,686
group-theory.generating-elements-groups,ms,686
analysis.differentiability-reciprocal-function-on-positive-proper-closed-intervals-real-numbers,ms,685
foundation.functoriality-set-quotients,ms,682
synthetic-homotopy-theory.circle,ms,682
order-theory.galois-connections-large-posets,ms,679
foundation.invertible-maps,ms,678
linear-algebra.large-left-modules-large-rings,ms,668
univalent-combinatorics.standard-finite-types,ms,664
foundation.types-with-decidable-dependent-pair-types,ms,660
foundation.equivalences-maybe,ms,660
category-theory.precategory-of-functors,ms,659
category-theory.monads-on-precategories,ms,658
foundation.identity-types,ms,657
synthetic-homotopy-theory.joins-of-types,ms,657
category-theory.category-of-functors,ms,656
foundation.coproducts-pullbacks,ms,655
real-numbers.cauchy-completeness-dedekind-real-numbers,ms,655
category-theory.precategory-of-maps-precategories,ms,648
univalent-combinatorics.2-element-decidable-subtypes,ms,647
structured-types.commuting-squares-of-pointed-maps,ms,644
category-theory.dependent-composition-operations-over-precategories,ms,643
category-theory.natural-transformations-functors-from-small-to-large-precategories,ms,638
real-numbers.inhabited-totally-bounded-subsets-real-numbers,ms,638
category-theory.natural-transformations-maps-from-small-to-large-precategories,ms,635
elementary-number-theory.multiplication-integers,ms,635
synthetic-homotopy-theory.coforks,ms,634
group-theory.integer-powers-of-elements-groups,ms,630
orthogonal-factorization-systems.functoriality-localizations-at-global-subuniverses,ms,627
foundation.functoriality-dependent-pair-types,ms,626
complex-numbers.eisenstein-integers,ms,622
foundation-core.fibers-of-maps,ms,621
finite-algebra.finite-rings,ms,620
species.cauchy-composition-species-of-types,ms,619
foundation.decidable-subtypes,ms,618
elementary-number-theory.unsolvability-of-squaring-to-two-in-rational-numbers,ms,616
category-theory.fully-faithful-functors-precategories,ms,614
orthogonal-factorization-systems.fiberwise-orthogonal-maps,ms,614
elementary-number-theory.bezouts-lemma-integers,ms,613
ring-theory.binomial-theorem-semirings,ms,613
category-theory.comonads-on-precategories,ms,612
synthetic-homotopy-theory.flattening-lemma-coequalizers,ms,611
synthetic-homotopy-theory.descent-pushouts,ms,611
trees.cartesian-natural-transformations-polynomial-endofunctors,ms,610
real-numbers.apartness-real-numbers,ms,609
metric-spaces.isometries-metric-spaces,ms,608
order-theory.total-orders,ms,607
universal-algebra.isomorphisms-of-algebras,ms,605
group-theory.normal-submonoids-commutative-monoids,ms,605
category-theory.category-of-maps-categories,ms,604
domain-theory.scott-continuous-maps-posets,ms,603
finite-group-theory.permutations,ms,603
univalent-combinatorics.main-classes-of-latin-hypercubes,ms,602
foundation.functoriality-set-truncation,ms,602
foundation.functoriality-cartesian-product-types,ms,602
category-theory.wide-subcategories,ms,598
category-theory.dependent-products-of-categories,ms,598
ring-theory.ideals-rings,ms,598
commutative-algebra.convolution-sequences-commutative-semirings,ms,597
foundation.slice,ms,597
graph-theory.walks-undirected-graphs,ms,593
linear-algebra.complex-inner-product-spaces,ms,590
orthogonal-factorization-systems.null-types,ms,589
foundation.morphisms-arrows,ms,586
metric-spaces.metrics-of-metric-spaces,ms,585
univalent-combinatorics.finitely-enumerable-types,ms,582
ring-theory.right-ideals-generated-by-subsets-rings,ms,582
ring-theory.ideals-generated-by-subsets-rings,ms,581
real-numbers.uniform-homeomorphism-unit-interval-proper-closed-interval-real-numbers,ms,578
foundation.arithmetic-law-product-and-pi-decompositions,ms,578
foundation-core.small-types,ms,576
foundation.type-arithmetic-dependent-pair-types,ms,576
trees.natural-transformations-polynomial-endofunctors,ms,575
real-numbers.suprema-families-real-numbers,ms,574
foundation.arithmetic-law-coproduct-and-sigma-decompositions,ms,573
trees.cartesian-morphisms-polynomial-endofunctors,ms,572
domain-theory.omega-continuous-maps-omega-complete-posets,ms,566
trees.bases-directed-trees,ms,564
trees.morphisms-polynomial-endofunctors,ms,562
ring-theory.left-ideals-generated-by-subsets-rings,ms,562
synthetic-homotopy-theory.equivalences-equifibered-span-diagrams,ms,559
foundation-core.universal-property-pullbacks,ms,555
trees.multivariable-polynomial-functors,ms,554
set-theory.cardinality-projective-sets,ms,550
synthetic-homotopy-theory.sections-descent-circle,ms,550
orthogonal-factorization-systems.modal-subuniverse-induction,ms,547
category-theory.structure-equivalences-set-magmoids,ms,546
foundation.equivalence-classes,ms,545
reflection.precategory-solver,ms,545
category-theory.natural-transformations-maps-precategories,ms,541
foundation.commuting-squares-of-homotopies,ms,536
complex-numbers.multiplicative-inverses-nonzero-complex-numbers,ms,534
group-theory.large-abelian-groups,ms,534
group-theory.equivalences-group-actions,ms,533
foundation.composition-algebra,ms,533
foundation.epimorphisms-with-respect-to-truncated-types,ms,532
real-numbers.distance-real-numbers,ms,531
order-theory.supremum-preserving-maps-posets,ms,529
foundation-core.homotopies,ms,529
group-theory.sums-of-finite-families-of-elements-commutative-semigroups,ms,529
synthetic-category-theory.pullbacks-synthetic-categories,ms,527
linear-algebra.preimages-of-left-module-structures-along-homomorphisms-of-rings,ms,527
metric-spaces.functoriality-isometries-metric-quotients-of-pseudometric-spaces,ms,526
foundation.type-duality,ms,525
foundation.functoriality-dependent-function-types,ms,523
category-theory.adjunctions-precategories,ms,523
foundation.perfect-images,ms,522
graph-theory.equivalences-dependent-reflexive-graphs,ms,521
linear-algebra.seminormed-real-vector-spaces,ms,520
foundation.vertical-composition-spans-of-spans,ms,520
trees.extensional-w-types,ms,519
metric-spaces.modulated-uniformly-continuous-maps-metric-spaces,ms,518
order-theory.meet-semilattices,ms,516
ring-theory.cyclic-rings,ms,515
trees.functoriality-combinator-directed-trees,ms,513
order-theory.decidable-total-orders,ms,512
group-theory.cores-monoids,ms,510
orthogonal-factorization-systems.universal-property-localizations-at-global-subuniverses,ms,510
metric-spaces.approximations-metric-spaces,ms,509
category-theory.copresheaf-categories,ms,508
complex-numbers.magnitude-complex-numbers,ms,506
metric-spaces.functoriality-short-maps-metric-quotients-of-pseudometric-spaces,ms,505
real-numbers.squares-real-numbers,ms,504
foundation.equality-coproduct-types,ms,500
synthetic-homotopy-theory.suspensions-of-propositions,ms,498
linear-algebra.left-modules-rings,ms,496
logic.double-negation-dense-maps,ms,496
finite-algebra.commutative-finite-rings,ms,495
foundation.category-of-sets,ms,494
commutative-algebra.heyting-fields,ms,494
orthogonal-factorization-systems.higher-modalities,ms,494
logic.de-morgan-maps,ms,493
synthetic-homotopy-theory.dependent-suspension-structures,ms,492
finite-group-theory.finite-groups,ms,491
real-numbers.inequality-real-numbers,ms,491
organic-chemistry.ethane,ms,490
synthetic-homotopy-theory.total-cocones-families-sequential-diagrams,ms,490
order-theory.join-semilattices,ms,490
category-theory.replete-subprecategories,ms,489
synthetic-homotopy-theory.cocones-under-sequential-diagrams,ms,488
trees.morphisms-enriched-directed-trees,ms,487
metric-spaces.isometries-pseudometric-spaces,ms,486
real-numbers.arithmetically-located-dedekind-cuts,ms,486
foundation.equivalences-cospan-diagrams,ms,484
commutative-algebra.integral-domains,ms,483
ring-theory.large-rings,ms,482
category-theory.function-categories,ms,481
linear-algebra.left-submodules-rings,ms,481
commutative-algebra.commutative-rings,ms,480
graph-theory.fibers-morphisms-reflexive-graphs,ms,478
trees.functoriality-w-types,ms,478
category-theory.wide-subprecategories,ms,473
real-numbers.maximum-finite-families-real-numbers,ms,472
group-theory.invertible-elements-monoids,ms,472
metric-spaces.universal-property-short-maps-metric-quotients-of-pseudometric-spaces,ms,471
elementary-number-theory.strict-inequality-rational-numbers,ms,470
real-numbers.dedekind-real-numbers,ms,467
category-theory.cones-precategories,ms,466
category-theory.adjunctions-large-categories,ms,465
foundation.universal-property-propositional-truncation,ms,465
elementary-number-theory.multiplication-interior-closed-intervals-rational-numbers,ms,464
reflection.group-solver,ms,464
trees.ranks-of-elements-w-types,ms,464
domain-theory.omega-continuous-maps-posets,ms,463
wild-category-theory.colax-functors-noncoherent-large-omega-precategories,ms,462
elementary-number-theory.addition-integers,ms,462
foundation.decidable-maps,ms,460
metric-spaces.metric-space-of-rational-numbers,ms,459
real-numbers.infima-families-real-numbers,ms,459
real-numbers.strict-inequalities-addition-and-subtraction-real-numbers,ms,459
metric-spaces.universal-property-isometries-metric-quotients-of-pseudometric-spaces,ms,458
category-theory.functors-set-magmoids,ms,456
foundation.type-arithmetic-standard-pullbacks,ms,456
category-theory.precategory-of-coalgebras-comonads-on-precategories,ms,456
foundation.homotopies-morphisms-cospan-diagrams,ms,453
group-theory.conjugation,ms,453
metric-spaces.limits-of-sequences-metric-spaces,ms,452
category-theory.right-extensions-precategories,ms,452
finite-group-theory.subgroups-finite-groups,ms,452
ring-theory.integer-multiples-of-elements-rings,ms,452
foundation.images-subtypes,ms,452
real-numbers.binary-maximum-real-numbers,ms,452
category-theory.natural-transformations-functors-from-small-to-large-categories,ms,451
linear-algebra.cauchy-schwarz-inequality-complex-inner-product-spaces,ms,450
synthetic-homotopy-theory.sequential-colimits,ms,450
order-theory.large-join-semilattices,ms,448
category-theory.precategory-of-algebras-monads-on-precategories,ms,448
orthogonal-factorization-systems.equivalences-at-subuniverses,ms,447
commutative-algebra.euclidean-domains,ms,446
structured-types.whiskering-pointed-2-homotopies-concatenation,ms,446
logic.oracle-reflections,ms,444
category-theory.monads-on-categories,ms,442
foundation.equivalences-span-diagrams,ms,441
finite-algebra.finite-fields,ms,441
polytopes.abstract-polytopes,ms,441
univalent-combinatorics.subfinite-indexing,ms,437
real-numbers.multiplication-positive-real-numbers,ms,437
real-numbers.closed-intervals-real-numbers,ms,437
category-theory.precategory-of-free-algebras-monads-on-precategories,ms,436
synthetic-homotopy-theory.dependent-cocones-under-sequential-diagrams,ms,434
synthetic-homotopy-theory.families-descent-data-pushouts,ms,432
foundation.dependent-products-pullbacks,ms,430
real-numbers.absolute-value-real-numbers,ms,429
real-numbers.metric-space-of-real-numbers,ms,429
univalent-combinatorics.set-quotients-of-index-two,ms,429
category-theory.categories,ms,428
order-theory.nuclei-large-locales,ms,428
foundation.whiskering-homotopies-composition,ms,427
orthogonal-factorization-systems.modal-induction,ms,425
elementary-number-theory.powers-rational-numbers,ms,425
ring-theory.homomorphisms-rings,ms,421
commutative-algebra.formal-power-series-commutative-semirings,ms,420
type-theories.precategories-with-attributes,ms,414
synthetic-homotopy-theory.dependent-universal-property-sequential-colimits,ms,414
metric-spaces.bounded-distance-decompositions-of-metric-spaces,ms,414
lists.permutation-tuples,ms,413
category-theory.left-extensions-precategories,ms,412
order-theory.least-upper-bounds-posets,ms,412
metric-spaces.indexed-sums-metric-spaces,ms,410
synthetic-homotopy-theory.dependent-pushout-products,ms,410
group-theory.large-monoids,ms,410
foundation.morphisms-cospan-diagrams,ms,408
trees.morphisms-coalgebras-polynomial-endofunctors,ms,407
order-theory.closure-operators-large-locales,ms,407
elementary-number-theory.well-ordering-principle-standard-finite-types,ms,406
species.products-dirichlet-series-species-of-types-in-subuniverses,ms,404
category-theory.dependent-products-of-large-precategories,ms,402
foundation.universal-property-identity-types,ms,402
foundation.cumulative-large-sets,ms,401
order-theory.join-preserving-maps-posets,ms,401
group-theory.symmetric-groups,ms,400
foundation.types-with-decidable-dependent-product-types,ms,399
metric-spaces.lipschitz-maps-metric-spaces,ms,398
category-theory.dependent-products-of-large-categories,ms,397
elementary-number-theory.binary-sum-decompositions-natural-numbers,ms,396
category-theory.strongly-preunivalent-categories,ms,395
trees.morphisms-algebras-polynomial-endofunctors,ms,395
linear-algebra.cauchy-schwarz-inequality-real-inner-product-spaces,ms,391
univalent-combinatorics.truncated-pi-finite-types,ms,391
category-theory.dependent-products-of-precategories,ms,391
lists.lists,ms,390
univalent-combinatorics.partitions,ms,390
foundation.uniqueness-set-quotients,ms,390
foundation.type-arithmetic-coproduct-types,ms,390
group-theory.decidable-subgroups,ms,390
analysis.comparison-test-series-real-numbers,ms,389
foundation.universal-property-pullbacks,ms,388
orthogonal-factorization-systems.factorizations-of-maps,ms,387
elementary-number-theory.divisibility-natural-numbers,ms,386
univalent-combinatorics.coproduct-types,ms,385
foundation.commuting-squares-of-identifications,ms,385
group-theory.abelianization-groups,ms,385
orthogonal-factorization-systems.function-classes,ms,384
real-numbers.increasing-pointwise-epsilon-delta-continuous-endomaps-real-numbers,ms,383
linear-algebra.linear-maps-left-modules-rings,ms,383
universal-algebra.homomorphisms-of-algebras,ms,383
metric-spaces.metrics-of-metric-spaces-are-uniformly-continuous,ms,383
orthogonal-factorization-systems.reflective-global-subuniverses,ms,382
category-theory.pseudomonic-functors-precategories,ms,380
foundation.precomposition-dependent-functions,ms,380
univalent-combinatorics.locally-finite-types,ms,379
elementary-number-theory.greatest-common-divisor-natural-numbers,ms,379
category-theory.functors-categories,ms,378
elementary-number-theory.reduced-integer-fractions,ms,378
foundation.isolated-elements,ms,377
structured-types.uniform-pointed-homotopies,ms,376
ring-theory.sums-of-finite-families-of-elements-semirings,ms,376
orthogonal-factorization-systems.precomposition-lifts-families-of-elements,ms,376
group-theory.invertible-elements-large-monoids,ms,376
foundation.equality-dependent-pair-types,ms,376
metric-spaces.pointwise-continuous-maps-metric-spaces,ms,376
synthetic-homotopy-theory.equivalences-coforks-under-equivalences-double-arrows,ms,375
linear-algebra.orthogonality-real-inner-product-spaces,ms,375
group-theory.isomorphisms-group-actions,ms,375
category-theory.cocones-precategories,ms,374
commutative-algebra.products-radical-ideals-commutative-rings,ms,374
foundation.pullback-cones,ms,374
metric-spaces.accumulation-points-subsets-located-metric-spaces,ms,374
trees.fibers-enriched-directed-trees,ms,373
orthogonal-factorization-systems.types-colocal-at-maps,ms,372
univalent-combinatorics.unbounded-pi-finite-types,ms,371
structured-types.whiskering-pointed-homotopies-composition,ms,370
orthogonal-factorization-systems.functoriality-reflective-global-subuniverses,ms,369
foundation.decidable-propositions,ms,369
lists.sort-by-insertion-tuples,ms,369
wild-category-theory.colax-functors-noncoherent-omega-precategories,ms,367
trees.small-multisets,ms,366
synthetic-homotopy-theory.dependent-descent-circle,ms,366
trees.morphisms-directed-trees,ms,365
group-theory.quotients-abelian-groups,ms,365
synthetic-category-theory.cospans-synthetic-categories,ms,363
elementary-number-theory.square-roots-positive-rational-numbers,ms,362
foundation.decidable-equality,ms,361
foundation.symmetric-operations,ms,360
foundation.function-types,ms,360
metric-spaces.uniformly-continuous-maps-metric-spaces,ms,358
metric-spaces.precategory-of-metric-spaces-and-short-maps,ms,357
graph-theory.sections-dependent-reflexive-graphs,ms,357
foundation-core.subtypes,ms,357
graph-theory.equivalences-undirected-graphs,ms,356
foundation-core.truncated-types,ms,354
linear-algebra.standard-euclidean-inner-product-spaces,ms,353
category-theory.natural-transformations-functors-categories,ms,353
foundation.horizontal-composition-spans-of-spans,ms,351
elementary-number-theory.inequality-rational-numbers,ms,351
group-theory.images-of-group-homomorphisms,ms,351
ring-theory.localizations-rings,ms,351
foundation.retracts-of-types,ms,349
foundation.faithful-maps,ms,349
group-theory.powers-of-elements-large-monoids,ms,349
logic.propositionally-decidable-types,ms,348
foundation.dependent-identifications,ms,348
graph-theory.equivalences-enriched-undirected-graphs,ms,347
foundation.set-presented-types,ms,347
foundation.transposition-identifications-along-equivalences,ms,346
foundation.postcomposition-functions,ms,346
orthogonal-factorization-systems.lifts-maps,ms,343
category-theory.displayed-precategories,ms,343
univalent-combinatorics.pigeonhole-principle,ms,342
elementary-number-theory.strict-inequality-natural-numbers,ms,338
trees.rooted-morphisms-directed-trees,ms,338
real-numbers.positive-real-numbers,ms,338
elementary-number-theory.greatest-common-divisor-integers,ms,338
ring-theory.products-subsets-rings,ms,338
group-theory.subgroups-generated-by-families-of-elements-groups,ms,338
