name,unit,ea5ccbc7fd64d270b2972293f942575bc9f7cd0d
literature.introduction-to-homotopy-type-theory,ms,325
graph-theory.dependent-sums-reflexive-graphs,ms,325
species.cauchy-exponentials-species-of-types,ms,324
species.dirichlet-exponentials-species-of-types,ms,324
metric-spaces.totally-bounded-metric-spaces,ms,323
foundation.null-homotopic-maps,ms,322
orthogonal-factorization-systems.factorizations-of-maps-function-classes,ms,322
synthetic-homotopy-theory.pushout-products,ms,321
group-theory.isomorphisms-semigroups,ms,321
graph-theory.morphisms-directed-graphs,ms,321
logic.double-negation-eliminating-maps,ms,320
group-theory.homomorphisms-groups,ms,320
domain-theory.kleenes-fixed-point-theorem-posets,ms,320
category-theory.isomorphisms-in-subprecategories,ms,319
foundation-core.invertible-maps,ms,319
foundation-core.identity-types,ms,319
foundation.similarity-preserving-binary-maps-cumulative-large-sets,ms,318
linear-algebra.complex-vector-spaces,ms,318
real-numbers.rational-real-numbers,ms,318
metric-spaces.cauchy-approximations-in-metric-quotients-of-pseudometric-spaces,ms,317
elementary-number-theory.addition-positive-rational-numbers,ms,316
graph-theory.dependent-products-directed-graphs,ms,314
commutative-algebra.subalgebras-commutative-rings,ms,314
foundation.0-connected-types,ms,312
structured-types.equivalences-retractive-types,ms,312
elementary-number-theory.based-strong-induction-natural-numbers,ms,311
univalent-combinatorics.decidable-equivalence-relations,ms,311
foundation.repetitions-of-values,ms,310
orthogonal-factorization-systems.extensions-double-lifts-families-of-elements,ms,310
logic.de-morgan-types,ms,310
orthogonal-factorization-systems.extensions-dependent-maps,ms,310
foundation.cartesian-morphisms-span-diagrams,ms,309
synthetic-category-theory.invertible-functors-synthetic-categories,ms,309
metric-spaces.discrete-metric-spaces,ms,309
elementary-number-theory.pisano-periods,ms,309
structured-types.initial-pointed-type-equipped-with-automorphism,ms,308
foundation.postcomposition-pullbacks,ms,308
category-theory.maps-precategories,ms,308
synthetic-homotopy-theory.pushouts-of-pointed-types,ms,307
metric-spaces.metric-spaces,ms,307
linear-algebra.normed-real-vector-spaces,ms,306
order-theory.similarity-of-elements-large-strict-preorders,ms,305
synthetic-homotopy-theory.descent-circle-function-types,ms,305
elementary-number-theory.distance-natural-numbers,ms,305
foundation.cantor-schroder-bernstein-decidable-embeddings,ms,305
structured-types.equivalences-types-equipped-with-endomorphisms,ms,304
foundation.type-arithmetic-empty-type,ms,303
real-numbers.alternation-sequences-real-numbers,ms,303
category-theory.large-function-categories,ms,302
group-theory,ms,302
foundation.coherently-constant-maps,ms,302
foundation.functoriality-truncation,ms,302
metric-spaces.open-subsets-metric-spaces,ms,302
logic.double-negation-stable-subtypes,ms,302
logic.de-morgan-subtypes,ms,301
elementary-number-theory.multiplication-rational-numbers,ms,300
foundation.sections,ms,300
foundation.double-negation-images,ms,300
category-theory.presheaf-categories,ms,299
structured-types.involutive-type-of-h-space-structures,ms,299
ring-theory.invertible-elements-rings,ms,299
foundation.descent-surjective-maps,ms,298
category-theory.full-subcategories,ms,298
metric-spaces.short-maps-metric-spaces,ms,297
group-theory.homomorphisms-group-actions,ms,296
foundation.iterating-automorphisms,ms,295
commutative-algebra.homomorphisms-commutative-rings,ms,295
commutative-algebra.formal-power-series-commutative-rings,ms,294
foundation.logical-equivalences,ms,294
finite-algebra.homomorphisms-commutative-finite-rings,ms,294
foundation.function-extensionality,ms,293
commutative-algebra.intersections-radical-ideals-commutative-rings,ms,292
commutative-algebra.dependent-products-algebras-commutative-rings,ms,291
category-theory.large-function-precategories,ms,291
lists.permutation-lists,ms,291
metric-spaces.closed-subsets-metric-spaces,ms,291
foundation.maybe,ms,290
foundation.regensburg-extension-fundamental-theorem-of-identity-types,ms,290
real-numbers.addition-lower-dedekind-real-numbers,ms,290
synthetic-homotopy-theory.codiagonals-of-maps,ms,289
category-theory.terminal-category,ms,289
order-theory.order-preserving-maps-preorders,ms,289
commutative-algebra.sums-of-finite-families-of-elements-commutative-semirings,ms,289
foundation.transport-along-equivalences,ms,289
analysis.addition-differentiable-real-maps-on-proper-closed-intervals-real-numbers,ms,289
synthetic-homotopy-theory.equivalences-sequential-diagrams,ms,288
metric-spaces.metrics,ms,288
graph-theory.morphisms-reflexive-graphs,ms,288
trees.hereditary-w-types,ms,287
ring-theory.homomorphisms-semirings,ms,286
globular-types.large-colax-transitive-globular-maps,ms,286
foundation.univalence,ms,286
globular-types.large-reflexive-globular-types,ms,285
synthetic-homotopy-theory.dependent-universal-property-coequalizers,ms,284
commutative-algebra.joins-ideals-commutative-rings,ms,284
foundation.descent-equivalences,ms,283
domain-theory.kleenes-fixed-point-theorem-omega-complete-posets,ms,283
foundation.retractions,ms,282
foundation.unordered-tuples,ms,282
category-theory.function-precategories,ms,282
structured-types.wild-category-of-pointed-types,ms,282
group-theory.normal-closures-subgroups,ms,282
category-theory.anafunctors-precategories,ms,281
trees.undirected-trees,ms,281
globular-types.large-transitive-globular-maps,ms,281
category-theory.full-subprecategories,ms,280
logic.de-morgan-propositions,ms,280
foundation.subtypes,ms,279
elementary-number-theory.powers-positive-rational-numbers,ms,279
trees.univalent-polynomial-endofunctors,ms,278
metric-spaces.nets-metric-spaces,ms,278
elementary-number-theory.inequality-natural-numbers,ms,277
real-numbers.addition-upper-dedekind-real-numbers,ms,277
metric-spaces.rational-neighborhood-relations,ms,276
trees.polynomial-endofunctors,ms,276
type-theories.precategories-with-families,ms,276
globular-types.large-lax-transitive-globular-maps,ms,276
lists.functoriality-lists,ms,275
category-theory.functors-from-small-to-large-precategories,ms,275
synthetic-homotopy-theory.infinite-cyclic-types,ms,274
foundation.univalent-type-families,ms,274
group-theory.large-semigroups,ms,274
orthogonal-factorization-systems.coproducts-null-types,ms,274
univalent-combinatorics.subcounting,ms,273
commutative-algebra.geometric-sequences-commutative-rings,ms,272
finite-algebra.homomorphisms-finite-rings,ms,272
foundation.double-negation-stable-propositions,ms,272
metric-spaces.cauchy-pseudocompletions-of-pseudometric-spaces,ms,271
order-theory.greatest-lower-bounds-posets,ms,271
group-theory.normal-cores-subgroups,ms,271
category-theory.gaunt-categories,ms,270
foundation.universal-property-sequential-limits,ms,270
foundation.universal-property-truncation,ms,270
foundation.symmetric-identity-types,ms,270
trees.enriched-directed-trees,ms,269
group-theory.subsemigroups,ms,269
foundation.precomposition-functions,ms,269
analysis.metric-abelian-groups-of-uniformly-continuous-maps-into-metric-abelian-groups,ms,269
group-theory.functoriality-quotient-groups,ms,269
metric-spaces.expansive-maps-metric-spaces,ms,268
category-theory.precategories,ms,267
category-theory.maps-set-magmoids,ms,267
set-theory.equality-cardinals,ms,267
metric-spaces.modulated-cauchy-sequences-metric-spaces,ms,267
group-theory.powers-of-elements-monoids,ms,267
trees.bases-enriched-directed-trees,ms,266
foundation.images,ms,265
type-theories.sections-dependent-type-theories,ms,265
order-theory.large-subframes,ms,264
category-theory.functors-from-small-to-large-categories,ms,263
category-theory.large-subprecategories,ms,263
foundation.decidable-types,ms,263
univalent-combinatorics.cartesian-product-types,ms,263
category-theory.functors-nonunital-precategories,ms,262
type-theories.unityped-type-theories,ms,262
order-theory.least-upper-bounds-large-posets,ms,262
set-theory.increasing-binary-sequences,ms,262
synthetic-homotopy-theory.interval-type,ms,262
univalent-combinatorics.counting-decidable-subtypes,ms,262
real-numbers.modulated-suprema-families-real-numbers,ms,261
elementary-number-theory.inequality-integers,ms,261
orthogonal-factorization-systems.maps-local-at-maps,ms,261
real-numbers.multiplication-positive-and-negative-real-numbers,ms,260
commutative-algebra.unital-associative-algebras-commutative-rings,ms,259
group-theory.isomorphisms-abelian-groups,ms,259
real-numbers.nonnegative-real-numbers,ms,259
foundation-core.equivalences-arrows,ms,259
synthetic-homotopy-theory.universal-property-circle,ms,259
synthetic-homotopy-theory.descent-circle,ms,259
category-theory.large-precategories,ms,258
structured-types.morphisms-h-spaces,ms,258
ring-theory.transporting-ring-structure-along-isomorphisms-abelian-groups,ms,257
univalent-combinatorics.pi-finite-types,ms,257
orthogonal-factorization-systems.functoriality-higher-modalities,ms,257
foundation.nonsurjective-maps,ms,256
category-theory.groupoids,ms,256
category-theory.split-essentially-surjective-functors-precategories,ms,256
group-theory.transitive-concrete-group-actions,ms,255
foundation.exclusive-sum,ms,255
foundation.locally-small-types,ms,254
elementary-number-theory.strict-inequality-integers,ms,254
foundation-core.decidable-propositions,ms,254
elementary-number-theory.unit-fractions-rational-numbers,ms,253
category-theory.preunivalent-categories,ms,253
foundation.fibers-of-maps,ms,253
synthetic-homotopy-theory.triple-loop-spaces,ms,252
lists.arrays,ms,252
order-theory.order-preserving-maps-total-orders,ms,251
orthogonal-factorization-systems.anodyne-maps,ms,251
foundation-core.functoriality-dependent-function-types,ms,250
commutative-algebra.zariski-locale,ms,250
foundation.symmetric-difference,ms,250
group-theory.substitution-functor-group-actions,ms,250
commutative-algebra.homomorphisms-commutative-semirings,ms,249
elementary-number-theory.strict-inequality-integer-fractions,ms,249
elementary-number-theory.multiplication-positive-rational-numbers,ms,249
graph-theory.equivalences-dependent-directed-graphs,ms,249
foundation.set-coequalizers,ms,248
foundation.action-on-identifications-ternary-functions,ms,248
orthogonal-factorization-systems.connected-types-at-subuniverses,ms,248
foundation.infinitely-coherent-equivalences,ms,246
group-theory.isomorphisms-groups,ms,246
metric-spaces.equality-of-pseudometric-spaces,ms,246
foundation.composition-spans,ms,246
species.small-cauchy-composition-species-of-finite-inhabited-types,ms,246
foundation.equality-cartesian-product-types,ms,245
foundation.equivalences-forks-over-equivalences-double-arrows,ms,245
finite-group-theory.finite-semigroups,ms,245
real-numbers.inequalities-addition-and-subtraction-real-numbers,ms,245
foundation.finitely-truncated-types,ms,245
real-numbers.difference-real-numbers,ms,245
ring-theory.function-rings,ms,245
group-theory.subgroups-concrete-groups,ms,245
foundation.descent-dependent-pair-types,ms,244
synthetic-homotopy-theory.morphisms-sequential-diagrams,ms,244
linear-algebra.seminormed-complex-vector-spaces,ms,244
globular-types.reflexive-globular-equivalences,ms,244
elementary-number-theory.harmonic-series-rational-numbers,ms,243
foundation.disjunction,ms,243
foundation.equivalence-relations,ms,242
group-theory.addition-homomorphisms-abelian-groups,ms,241
univalent-combinatorics.dependent-pair-types,ms,241
order-theory.meets-finite-families-meet-semilattices,ms,241
ring-theory.dependent-products-rings,ms,241
foundation-core.propositions,ms,240
analysis.scalar-multiplication-differentiable-real-maps-on-proper-closed-intervals-real-numbers,ms,240
order-theory.intersections-closed-intervals-total-orders,ms,240
foundation.binary-type-duality,ms,240
synthetic-homotopy-theory.cavallos-trick,ms,239
univalent-combinatorics.type-duality,ms,239
analysis.metric-abelian-groups,ms,239
foundation.existential-quantification,ms,238
category-theory.restrictions-functors-cores-precategories,ms,238
order-theory.similarity-of-elements-large-strict-orders,ms,238
real-numbers.sums-of-finite-sequences-of-real-numbers,ms,238
finite-group-theory.finite-monoids,ms,238
foundation.universal-property-set-truncation,ms,237
commutative-algebra.radicals-of-ideals-commutative-rings,ms,237
group-theory.congruence-relations-groups,ms,237
real-numbers.multiplicative-inverses-nonzero-real-numbers,ms,237
order-theory.joins-finite-families-large-join-semilattices,ms,237
foundation.base-changes-span-diagrams,ms,235
graph-theory.directed-graph-duality,ms,235
foundation.extensions-types-global-subuniverses,ms,234
metric-spaces.cauchy-approximations-in-cauchy-pseudocompletions-of-pseudometric-spaces,ms,234
universal-algebra.equivalences-models-of-signatures,ms,234
category-theory.opposite-preunivalent-categories,ms,233
group-theory.homomorphisms-monoids,ms,233
universal-algebra.algebraic-theory-of-groups,ms,232
linear-algebra.finite-sequences-in-rings,ms,232
finite-group-theory.cartier-delooping-sign-homomorphism,ms,232
elementary-number-theory.multiplication-positive-and-negative-integers,ms,232
foundation.preunivalent-type-families,ms,232
lists.sorted-tuples,ms,232
order-theory.finite-preorders,ms,231
foundation.epimorphisms,ms,230
group-theory.isomorphisms-monoids,ms,230
order-theory.joins-finite-families-join-semilattices,ms,229
metric-spaces.metric-quotients-of-pseudometric-spaces,ms,229
synthetic-homotopy-theory.equivalences-cocones-under-equivalences-sequential-diagrams,ms,229
group-theory.iterated-cartesian-products-concrete-groups,ms,229
category-theory.category-of-simplicial-sets,ms,228
metric-spaces.short-maps-pseudometric-spaces,ms,228
graph-theory.fibers-directed-graphs,ms,228
real-numbers.binary-minimum-real-numbers,ms,228
species.composition-cauchy-series-species-of-types,ms,228
category-theory.fully-faithful-maps-precategories,ms,228
metric-spaces.metric-space-of-cauchy-approximations-metric-spaces,ms,227
real-numbers.geometric-sequences-real-numbers,ms,227
foundation.sequential-limits,ms,227
group-theory.images-of-semigroup-homomorphisms,ms,227
group-theory.sums-of-finite-families-of-elements-abelian-groups,ms,226
foundation.fiber-inclusions,ms,226
order-theory.intersections-closed-intervals-lattices,ms,226
modal-type-theory.crisp-pullbacks,ms,226
analysis.alternation-sequences-metric-abelian-groups,ms,225
foundation.extensions-types-subuniverses,ms,225
elementary-number-theory.addition-integer-fractions,ms,225
ring-theory.congruence-relations-rings,ms,225
elementary-number-theory.unit-closed-interval-rational-numbers,ms,224
foundation-core.universal-property-truncation,ms,224
trees.functoriality-fiber-directed-tree,ms,224
metric-spaces.expansive-maps-pseudometric-spaces,ms,224
metric-spaces.elements-at-bounded-distance-metric-spaces,ms,224
foundation-core.contractible-types,ms,224
analysis.ratio-test-series-real-numbers,ms,223
group-theory.large-commutative-monoids,ms,223
metric-spaces.equality-of-metric-spaces,ms,223
real-numbers.odd-roots-real-numbers,ms,223
synthetic-homotopy-theory.descent-circle-subtypes,ms,223
graph-theory.morphisms-undirected-graphs,ms,223
foundation-core.double-negation-stable-equality,ms,222
functional-analysis.convergent-series-real-banach-spaces,ms,222
synthetic-homotopy-theory.joins-of-maps,ms,221
foundation.equivalences-double-arrows,ms,221
elementary-number-theory.ring-of-integers,ms,220
foundation.commuting-triangles-of-maps,ms,220
foundation-core.whiskering-identifications-concatenation,ms,220
globular-types.large-transitive-globular-types,ms,220
wild-category-theory.noncoherent-large-omega-precategories,ms,220
metric-spaces.uniform-limit-theorem-uniformly-continuous-maps-metric-spaces,ms,219
univalent-combinatorics.finite-choice,ms,219
foundation.equality-fibers-of-maps,ms,219
linear-algebra.sesquilinear-forms-complex-vector-spaces,ms,219
real-numbers.strictly-increasing-pointwise-epsilon-delta-continuous-endomaps-real-numbers,ms,218
foundation.strong-preunivalence,ms,218
real-numbers.iterated-halving-difference-real-numbers,ms,218
structured-types.dependent-products-wild-monoids,ms,218
synthetic-homotopy-theory.cocartesian-morphisms-arrows,ms,217
category-theory.large-categories,ms,216
foundation.singleton-subtypes,ms,216
group-theory.homomorphisms-groups-equipped-with-normal-subgroups,ms,216
foundation-core.equality-dependent-pair-types,ms,216
orthogonal-factorization-systems.factorizations-of-maps-global-function-classes,ms,216
univalent-combinatorics.fibers-of-maps,ms,215
synthetic-homotopy-theory.descent-circle-dependent-pair-types,ms,214
elementary-number-theory.multiplication-natural-numbers,ms,214
graph-theory.fibers-morphisms-directed-graphs,ms,214
linear-algebra.dot-product-standard-euclidean-vector-spaces,ms,213
finite-algebra.dependent-products-commutative-finite-rings,ms,213
elementary-number-theory.equality-conatural-numbers,ms,213
globular-types.large-globular-types,ms,213
commutative-algebra.sums-of-finite-families-of-elements-commutative-rings,ms,213
finite-group-theory.finite-type-groups,ms,213
linear-algebra.linear-combinations-tuples-of-vectors-left-modules-rings,ms,212
elementary-number-theory.rational-numbers,ms,212
foundation.multivariable-homotopies,ms,212
foundation.connected-types,ms,212
linear-algebra.duals-left-modules-commutative-rings,ms,212
linear-algebra.real-inner-product-spaces-are-normed,ms,212
linear-algebra.linear-maps-left-modules-commutative-rings,ms,212
elementary-number-theory.congruence-natural-numbers,ms,211
elementary-number-theory,ms,211
commutative-algebra.function-commutative-rings,ms,211
metric-spaces.limits-of-modulated-cauchy-sequences-metric-spaces,ms,211
foundation.equivalences-arrows,ms,211
category-theory.full-large-subprecategories,ms,211
elementary-number-theory.distance-rational-numbers,ms,210
complex-numbers.large-additive-group-of-complex-numbers,ms,210
group-theory.cartesian-products-concrete-groups,ms,210
ring-theory.joins-left-ideals-rings,ms,210
real-numbers.cauchy-sequences-real-numbers,ms,210
higher-group-theory.small-higher-groups,ms,210
foundation.constant-maps,ms,209
set-theory.inclusion-natural-numbers-increasing-binary-sequences,ms,208
foundation.binary-relations,ms,208
finite-algebra.dependent-products-finite-rings,ms,208
real-numbers.maximum-lower-dedekind-real-numbers,ms,208
species.products-dirichlet-series-species-of-types,ms,208
real-numbers.uniformly-continuous-real-maps-proper-closed-intervals-real-numbers,ms,208
structured-types.pointed-types-equipped-with-automorphisms,ms,207
linear-algebra.linear-maps-vector-spaces,ms,207
orthogonal-factorization-systems.equality-extensions-dependent-maps,ms,206
foundation.freely-generated-equivalence-relations,ms,206
ring-theory.joins-ideals-rings,ms,206
category-theory,ms,205
orthogonal-factorization-systems.postcomposition-extensions-maps,ms,205
univalent-combinatorics.decidable-subtypes,ms,205
group-theory.integer-multiples-of-elements-abelian-groups,ms,205
foundation.inequality-truncation-levels,ms,204
metric-spaces.cauchy-pseudocompletions-of-complete-metric-spaces,ms,204
order-theory.lattices,ms,204
elementary-number-theory.addition-closed-intervals-rational-numbers,ms,203
group-theory.homomorphisms-semigroups,ms,203
orthogonal-factorization-systems.orthogonal-factorization-systems,ms,203
group-theory.normalizer-subgroups,ms,203
foundation.coproduct-types,ms,202
graph-theory.internal-hom-directed-graphs,ms,202
structured-types.pointed-type-duality,ms,202
foundation.subuniverses,ms,202
foundation.sets,ms,202
real-numbers.minimum-upper-dedekind-real-numbers,ms,202
modal-type-theory.flat-discrete-crisp-types,ms,202
order-theory,ms,201
elementary-number-theory.powers-of-two,ms,201
foundation.equivalences-spans,ms,201
univalent-combinatorics.counting,ms,201
category-theory.faithful-functors-precategories,ms,200
synthetic-homotopy-theory.equivalences-dependent-sequential-diagrams,ms,199
commutative-algebra.algebras-commutative-rings,ms,199
metric-spaces.similarity-of-elements-pseudometric-spaces,ms,199
foundation-core.monomorphisms,ms,199
commutative-algebra.polynomials-commutative-rings,ms,199
commutative-algebra.geometric-sequences-commutative-semirings,ms,199
foundation-core.equivalence-relations,ms,198
category-theory.cores-precategories,ms,198
group-theory.congruence-relations-abelian-groups,ms,198
foundation.unions-subtypes,ms,198
category-theory.natural-transformations-functors-large-precategories,ms,197
commutative-algebra.transporting-commutative-ring-structure-isomorphisms-abelian-groups,ms,197
metric-spaces.uniform-limit-theorem-pointwise-continuous-maps-metric-spaces,ms,196
foundation.raising-universe-levels,ms,196
commutative-algebra.ideals-commutative-rings,ms,195
species.products-cauchy-series-species-of-types,ms,195
set-theory.complemented-inequality-cardinals,ms,195
elementary-number-theory.strong-induction-natural-numbers,ms,195
elementary-number-theory.type-arithmetic-natural-numbers,ms,194
category-theory.pullbacks-in-precategories,ms,194
foundation.dependent-function-types-with-apartness-relations,ms,194
univalent-combinatorics.2-element-subtypes,ms,193
foundation.axiom-of-countable-choice,ms,193
category-theory.faithful-maps-precategories,ms,192
synthetic-homotopy-theory.universal-property-suspensions-of-pointed-types,ms,192
ring-theory.semirings,ms,192
ring-theory.joins-right-ideals-rings,ms,192
elementary-number-theory.integers,ms,191
order-theory.large-frames,ms,191
elementary-number-theory.triangular-numbers,ms,190
analysis.series-metric-abelian-groups,ms,190
foundation-core.injective-maps,ms,190
linear-algebra.real-vector-spaces,ms,189
foundation.impredicative-encodings,ms,189
graph-theory.sections-dependent-directed-graphs,ms,189
foundation.truncation-images-of-maps,ms,189
metric-spaces.totally-bounded-subspaces-metric-spaces,ms,189
order-theory.posets,ms,188
elementary-number-theory.multiplicative-group-of-positive-rational-numbers,ms,188
synthetic-homotopy-theory.morphisms-coforks-under-morphisms-double-arrows,ms,187
functional-analysis.absolute-convergence-series-real-banach-spaces,ms,187
ring-theory.subrings,ms,187
metric-spaces.complete-metric-spaces,ms,187
set-theory.inequality-cardinals,ms,186
modal-type-theory.sharp-codiscrete-types,ms,186
ring-theory.congruence-relations-semirings,ms,186
real-numbers.raising-universe-levels-real-numbers,ms,186
commutative-algebra.integer-multiples-of-elements-commutative-rings,ms,186
foundation.lesser-limited-principle-of-omniscience,ms,186
category-theory.strict-categories,ms,186
foundation.booleans,ms,186
group-theory.kernels-homomorphisms-groups,ms,185
set-theory.cantors-diagonal-argument,ms,184
category-theory.constant-functors,ms,184
elementary-number-theory.standard-cyclic-rings,ms,184
ring-theory.sums-of-finite-sequences-of-elements-semirings,ms,184
group-theory.minkowski-multiplication-monoids,ms,183
ring-theory.homomorphisms-cyclic-rings,ms,183
foundation.universal-property-propositional-truncation-into-sets,ms,183
foundation.action-on-higher-identifications-functions,ms,183
metric-spaces.subspaces-metric-spaces,ms,182
group-theory.precategory-of-orbits-monoid-actions,ms,182
order-theory.frames,ms,182
category-theory.full-large-subcategories,ms,182
metric-spaces.inhabited-totally-bounded-subspaces-metric-spaces,ms,182
foundation.iterating-functions,ms,182
metric-spaces.uniform-homeomorphisms-metric-spaces,ms,182
category-theory.opposite-large-precategories,ms,182
group-theory.saturated-congruence-relations-monoids,ms,181
group-theory.minkowski-multiplication-commutative-monoids,ms,181
finite-group-theory.finite-abelian-groups,ms,180
order-theory.chains-posets,ms,180
linear-algebra.left-modules-commutative-rings,ms,180
synthetic-homotopy-theory.free-loops,ms,180
elementary-number-theory.universal-property-natural-numbers,ms,180
foundation.contractible-types,ms,180
trees.induction-w-types,ms,180
globular-types.lax-transitive-globular-maps,ms,180
lists.set-quotients-tuples,ms,179
category-theory.precategory-of-elements-of-a-presheaf,ms,179
group-theory.dihedral-group-construction,ms,179
foundation.iterated-cartesian-product-types,ms,178
elementary-number-theory.addition-rational-numbers,ms,178
metric-spaces.precategory-of-metric-spaces-and-isometries,ms,177
elementary-number-theory.finitary-natural-numbers,ms,177
foundation.morphisms-spans-families-of-types,ms,177
metric-spaces.metric-quotients-of-metric-spaces,ms,177
univalent-combinatorics.equality-standard-finite-types,ms,177
univalent-combinatorics.embeddings-standard-finite-types,ms,177
real-numbers.nonzero-roots-nonnegative-real-numbers,ms,176
ring-theory.products-rings,ms,176
commutative-algebra.dependent-products-commutative-rings,ms,176
univalent-combinatorics.sequences-finite-types,ms,176
elementary-number-theory.squares-rational-numbers,ms,176
higher-group-theory.transitive-higher-group-actions,ms,176
foundation-core.retractions,ms,176
foundation.propositional-extensionality,ms,175
category-theory.opposite-precategories,ms,175
trees.fibers-directed-trees,ms,175
globular-types.transitive-globular-maps,ms,175
structured-types.pointed-span-diagrams,ms,175
category-theory.composition-operations-on-binary-families-of-sets,ms,175
foundation.intersections-subtypes,ms,175
trees.rooted-morphisms-enriched-directed-trees,ms,174
real-numbers.addition-positive-real-numbers,ms,174
group-theory.endomorphism-rings-abelian-groups,ms,174
category-theory.opposite-categories,ms,174
logic.double-negation-elimination,ms,174
metric-spaces.pseudometric-spaces,ms,174
order-theory.large-quotient-locales,ms,173
commutative-algebra.invertible-elements-commutative-rings,ms,173
real-numbers.inequality-nonnegative-real-numbers,ms,173
order-theory.similarity-of-elements-strict-preorders,ms,173
analysis.monotone-convergence-theorem-increasing-sequences-real-numbers,ms,173
elementary-number-theory.positive-integers,ms,173
elementary-number-theory.absolute-value-rational-numbers,ms,172
order-theory.large-locales,ms,171
group-theory.nullifying-group-homomorphisms,ms,171
globular-types.colax-transitive-globular-maps,ms,171
synthetic-homotopy-theory.equifibered-span-diagrams,ms,171
foundation.diagonals-of-maps,ms,171
real-numbers.negation-lower-upper-dedekind-real-numbers,ms,171
foundation.uniformly-decidable-type-families,ms,171
foundation.action-on-equivalences-type-families,ms,171
foundation.universal-property-dependent-pair-types,ms,170
category-theory.representable-functors-precategories,ms,170
group-theory.saturated-congruence-relations-commutative-monoids,ms,170
globular-types.binary-dependent-reflexive-globular-types,ms,169
real-numbers.subsets-real-numbers,ms,169
order-theory.large-inflattices,ms,168
ring-theory.left-ideals-rings,ms,168
species.coproducts-species-of-types-in-subuniverses,ms,168
ring-theory.sums-of-finite-families-of-elements-rings,ms,168
foundation.tight-apartness-relations,ms,168
logic.oracle-modalities,ms,167
elementary-number-theory.geometric-sequences-positive-rational-numbers,ms,167
real-numbers.binary-mean-real-numbers,ms,167
foundation.functional-correspondences,ms,167
group-theory.pullbacks-subgroups,ms,167
orthogonal-factorization-systems.uniquely-eliminating-modalities,ms,167
foundation.pairs-of-distinct-elements,ms,167
structured-types.equivalences-types-equipped-with-automorphisms,ms,166
foundation.equivalences-cospans,ms,166
elementary-number-theory.parity-natural-numbers,ms,166
real-numbers.nonzero-real-numbers,ms,165
group-theory.sums-of-finite-sequences-of-elements-commutative-semigroups,ms,165
univalent-combinatorics.equivalences-cubes,ms,165
category-theory.opposite-strongly-preunivalent-categories,ms,165
univalent-combinatorics.cycle-prime-decomposition-natural-numbers,ms,165
real-numbers.limits-of-sequences-real-numbers,ms,165
foundation.strictly-right-unital-concatenation-identifications,ms,164
structured-types.h-spaces,ms,164
group-theory.equivalences-concrete-group-actions,ms,164
orthogonal-factorization-systems.open-modalities,ms,163
linear-algebra.bilinear-forms-real-vector-spaces,ms,162
ring-theory.products-right-ideals-rings,ms,162
foundation-core.contractible-maps,ms,162
linear-algebra.rational-modules,ms,162
foundation.morphisms-inverse-sequential-diagrams,ms,162
metric-spaces.dependent-products-metric-spaces,ms,162
orthogonal-factorization-systems.factorization-operations-function-classes,ms,162
category-theory.functors-large-precategories,ms,162
order-theory.large-suplattices,ms,162
metric-spaces.cartesian-products-metric-spaces,ms,161
ring-theory.products-left-ideals-rings,ms,161
modal-type-theory.crisp-cartesian-product-types,ms,161
ring-theory.sums-of-finite-sequences-of-elements-rings,ms,161
group-theory.homomorphisms-abelian-groups,ms,161
category-theory.yoneda-lemma-precategories,ms,160
orthogonal-factorization-systems.continuation-modalities,ms,160
category-theory.products-in-precategories,ms,160
foundation-core.sections,ms,160
ring-theory.products-ideals-rings,ms,160
globular-types.globular-types,ms,160
metric-spaces.rational-approximations-of-zero,ms,159
foundation.morphisms-double-arrows,ms,159
orthogonal-factorization-systems.extensions-lifts-families-of-elements,ms,159
foundation.equivalence-extensionality,ms,159
structured-types.dependent-types-equipped-with-automorphisms,ms,158
ring-theory.powers-of-elements-rings,ms,158
set-theory.dependent-sums-cardinals,ms,158
orthogonal-factorization-systems.global-function-classes,ms,158
group-theory.submonoids,ms,158
synthetic-homotopy-theory.families-descent-data-sequential-colimits,ms,158
metric-spaces.distances-located-metric-spaces,ms,158
ring-theory.ideals-semirings,ms,157
finite-algebra.products-commutative-finite-rings,ms,157
elementary-number-theory.congruence-integers,ms,157
group-theory.nontrivial-groups,ms,157
globular-types.transitive-globular-types,ms,157
group-theory.sums-of-finite-sequences-of-elements-monoids,ms,156
lists.quicksort-lists,ms,156
foundation.families-of-maps,ms,155
logic.propositionally-decidable-maps,ms,155
order-theory.strict-order-preserving-maps,ms,155
univalent-combinatorics.finitely-enumerable-subtypes,ms,154
foundation.type-arithmetic-cartesian-product-types,ms,154
real-numbers.negation-real-numbers,ms,154
finite-algebra.products-finite-rings,ms,154
logic.propositional-double-negation-elimination,ms,154
structured-types.morphisms-types-equipped-with-endomorphisms,ms,154
structured-types.equivalences-pointed-arrows,ms,153
real-numbers.maximum-inhabited-finitely-enumerable-subsets-real-numbers,ms,153
globular-types.large-globular-maps,ms,153
univalent-combinatorics.disjunction,ms,153
order-theory.commuting-squares-of-galois-connections-large-posets,ms,153
univalent-combinatorics.dependent-function-types,ms,152
domain-theory.reindexing-directed-families-posets,ms,152
foundation.subtype-identity-principle,ms,152
lists.concatenation-lists,ms,152
order-theory.large-meet-subsemilattices,ms,152
order-theory.large-posets,ms,152
group-theory.submonoids-commutative-monoids,ms,152
set-theory.russells-paradox,ms,152
metric-spaces.cauchy-pseudocompletions-of-metric-spaces,ms,152
